title,author,year,subject,canonicity,note
Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,1668,-2.5,-2,Thirty Years' War male picaresque
Sister Outsider,Audre Lorde,1984,3,1,Black lesbian feminist essays
Slave Old Man,Patrick Chamoiseau,1997,-2,2,Martinican male slave's escape
Sleeping Murder,Agatha Christie,1976,0.5,-1,Miss Marple mystery
Smiley's People,John le Carré,1979,-2.5,-1,Cold War male spy
"So Long, See You Tomorrow",William Maxwell,1980,-1,0,Illinois murder remembered; male narrator
Soldiers of Salamis,Javier Cercas,2001,-1.5,1,Spanish Civil War male investigation
Something Happened,Joseph Heller,1974,-2,-1,Corporate male malaise
Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,-1.5,-3,Lovesick young male suicide
Sport and a Pastime,James Salter,1967,-1.5,0,American male affair in France
Stag Dance,Torrey Peters,2025,1,2.5,Trans-themed novellas
Stamboul Train,Graham Greene,1932,-0.5,-1,Train across Europe; ensemble
Still Life,A. S. Byatt,1985,1.5,0,Frederica Potter family novel
Strange Tales From a Chinese Studio,Pu Songling,1740,-0.5,-1,Qing-era supernatural tales
Strangers,Anita Brookner,2009,-0.5,0,Solitary retired male
Sudden Death,Álvaro Enrigue,2013,-2,1,Tennis match Caravaggio/Quevedo
Sultana's Dream,Rokeya Sakhawat Hossain,1905,3,2,Feminist utopia by Bengali woman
Summertime,J. M. Coetzee,2009,-1.5,1,Coetzee autofiction; women on him
Suttree,Cormac McCarthy,1979,-3,-1,Tennessee river male drifter
Swami and Friends,R. K. Narayan,1935,-1.5,0,Indian boyhood in Malgudi
Swami and Friends,R. K. Narayan,1935,-1.5,0,Duplicate
Tale for the Time Being,Ruth Ozeki,2013,2,1,Japanese girl's diary found by woman
Tales of the City,Armistead Maupin,1978,1,1,SF queer-inclusive ensemble
Tamarisk Row,Gerald Murnane,1974,-2,0,Australian boy's interior life
Tamarisk Row,Gerald Murnane,1974,-2,0,Duplicate
Tar Baby,Toni Morrison,1981,1.5,0,Black model and drifter on Caribbean island
Tarka the Otter,Henry Williamson,1927,-0.5,-1,Otter's life in Devon
Telephone,Percival L. Everett,2020,-1,1,Father with terminally ill daughter
Tender Is the Night,F. Scott Fitzgerald,1934,-0.5,-1.5,Riviera psychiatrist and wife
Territory of Light,Yuko Tsushima,1979,3,1,Tokyo single mother
Textermination,Christine Brooke-Rose,1991,1,0,Literary characters in conference
The 39 Steps,John Buchan,1915,-2,-1,Edwardian male thriller
The Adventures of Oliver Twist,Charles Dickens,1838,-1.5,-3,Orphan boy in Victorian London
The Affirmation,Christopher Priest,1981,-1.5,0,Male unreliable narrator alternate world
The Alchemist,Paulo Coelho,1988,-1,1,Spanish shepherd boy quest
The Alexandria Quartet ,Lawrence Durrell,1957,-1,-1,Egyptian male narrators
The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000,-2,1,Two Jewish cousins make comics
The Amazing Mr Blunden,Antonia Barber,1969,1,0,Children and ghost girls
The Autobiography of Alice B. Toklas,Gertrude Stein,1933,3,-1,Lesbian Paris memoir-novel
The Baron in the Trees,Italo Calvino,1957,-1.5,-1,Boy lives in trees
The Bell,Iris Murdoch,1958,0,-1,English religious community
The Betrothed,Alessandro Manzoni,1827,0,-3,Italian historical romance
The Birthday Boys,Beryl Bainbridge,1991,-3,0,Scott's Antarctic expedition voices
The Black Prince,Iris Murdoch,1973,-1,0,Male writer's obsessive love
The Blind Owl,Sadegh Hedayat,1937,-2,-1,Iranian male hallucinatory monologue
The Bloater,Rosemary Tonks,1968,2.5,0,1960s female radio producer
The Bonfire of the Vanities,Tom Wolfe,1987,-2,-1,Wall Street male's downfall
The Book of Night Women,Marlon James,2009,2.5,1,Enslaved women in Jamaica plantation
The Bridge on the Drina,Ivo Andrić,1945,-1,-1.5,Bosnian bridge through centuries
The Buddha of Suburbia,Hanif Kureishi,1990,-1.5,1,Anglo-Indian male coming-of-age
The Buddha of Suburbia,Hanif Kureishi,1990,-1.5,1,Duplicate
The Busconductor Hines,James Kelman,1984,-2,0,Glaswegian male bus conductor
The Castle,Franz Kafka,1926,-2,-2,K's bureaucratic male nightmare
The Child in Time,Ian McEwan,1987,-0.5,0,Father after daughter's abduction
The Cider House Rules,John Irving,1985,0,0,Orphanage abortionist saga
The City & the City,China Miéville,2009,-1.5,1,Male detective in two overlapping cities
The Code of the Woosters,P. G. Wodehouse,1938,-1,-1,Jeeves and Wooster comedy
The Collector,John Fowles,1963,1,-1,Male kidnaps art student
The Coming Bad Days,Sarah Bernstein,2021,2.5,2,Solitary female narrator
The Country Girls,Edna O'Brien,1960,3,0,Irish girls coming-of-age
The Country of the Pointed Firs,Sarah Orne Jewett,1896,2.5,-2,Maine coastal women
The Custom of the Country,Edith Wharton,1913,2,-2,Social climbing American woman
The Dark Is Rising,Susan Cooper,1973,-1,0,Boy fantasy series
The Dark Is Rising,Susan Cooper,1973,-1,0,Duplicate
The Decameron of Boccaccio,Giovanni Boccaccio,1353,-0.5,-3,Florentine plague frame tales
The Deptford Trilogy,Robertson Davies,1970,-1.5,-1,Canadian male trilogy
The Dew Breaker,Edwidge Danticat,2004,0,1,Haitian torturer and his family
The Discomfort of Evening,Lucas Rijneveld,2018,1.5,2,Dutch farm girl after brother's death
The Dispossessed,Ursula K. Le Guin,1974,-1,0,Male physicist between two worlds
The Divine Comedy,Dante Alighieri,1320,-1.5,-3,Pilgrim's afterlife journey
The Easter Parade,Richard Yates,1976,2,0,Two sisters' disappointed lives
The Emperor's Babe,Bernardine Evaristo,2001,2.5,1,Roman London Sudanese girl in verse
The Employees,Olga Ravn,2018,1,2,Workplace SF; mostly female voices
The Empty Book,Josefina Vicens,1958,-1,0,Mexican male can't write his book
The Fall of the House of Usher,Edgar Allan Poe,1839,-1,-2,Gothic male twins
The Famished Road,Ben Okri,1991,-1,1,Nigerian spirit child boy
The Fish Can Sing,Halldór Laxness,1957,-1,-1,Icelandic boy and famous singer
"The Fortnight in September,",R. C. Sherriff,1931,0,-1,English family on seaside holiday
The Garden of the Finzi-Continis,Giorgio Bassani,1962,0,-1,Pre-war Italian Jewish family
The Gathering,Anne Enright,2007,2,1,Irish woman after brother's suicide
The Girls of Slender Means,Muriel Spark,1963,3,0,Postwar London women's hostel
The Girls of Slender Means,Muriel Spark,1963,3,0,Duplicate
The Golden Gate,Vikram Seth,1986,0,0,SF yuppies in verse
The Goldfinch,Donna Tartt,2013,-1,1,Boy after mother's death in bombing
The Gormenghast Novels,Mervyn Peake,1946,-1,-1,Gothic series
The Grass Is Singing,Doris Lessing,1950,1.5,0,Rhodesian farm woman and Black servant
The Green Road,Anne Enright,2015,1,1,Irish family Christmas reunion
The Haunting of Hill House,Shirley Jackson,1959,2,-1,Female-led gothic haunting
The Heart of Midlothian,Walter Scott,1818,1.5,-3,Scottish woman's journey to save sister
The Hobbit,J.R.R. Tolkien,1937,-2,-1,Hobbit and dwarves all-male quest
The Hounds of the Morrigan,Pat O'Shea,1985,0.5,0,Irish children fantasy
The House of the Spirits,Isabel Allende,1982,2,0,Chilean family women across generations
The Hunchback of Notre-Dame,Victor Hugo,1831,-0.5,-3,Duplicate of Notre Dame
The Ice Palace,Tarjei Vesaas,1963,2,-1,Norwegian girls and frozen waterfall
The Idiot,Fyodor Dostoevsky,1869,-1.5,-3,Innocent prince among Russians
The Improvement of Human Reason,Ibn Tufayl,1160,-2,-2,12th-c. Arabic philosophical boy on island
The Information,Martin Amis,1995,-2,0,Two male novelists' rivalry
The Inverted World,Christopher Priest,1974,-1.5,0,Male SF rotating city
The Journal of Albion Moonlight,Kenneth Patchen,1941,-1.5,-0.5,Surrealist male wartime journal
The Joys of Motherhood,Buchi Emecheta,1979,3,1,Nigerian woman and motherhood
The Last Samurai,Helen Dewitt,2000,0.5,1,Single mother raises genius son
The Lie Tree,Frances Hardinge,2015,1.5,1,Victorian girl uncovers father's secret
The Light Years,Elizabeth Jane Howard,1990,1.5,0,Cazalet family WWII opening
The Loneliness of Sonia and Sunny,Kiran Desai,2025,1,2,Indian diaspora couple
The Lonely Londoners,Samuel Selvon,1956,-2,0,Caribbean men in postwar London
The Long View,Elizabeth Jane Howard,1956,2,0,Marriage seen backwards
The Loser,Thomas Bernhard,1983,-2,0,Pianist obsessed with Glenn Gould
The Lover,Marguerite Duras,1984,2,0,French girl and older Chinese lover
The Luminaries,Eleanor Catton,2013,0,1,NZ goldfield mystery ensemble
The Magic Toyshop,Angela Carter,1967,2.5,0,Orphan girl with uncanny uncle
The Maltese Falcon,Dashiell Hammett,1930,-2.5,-1,Hard-boiled male detective
The Man Who Planted Trees,Jean Giono,1953,-1,-1,Lone male shepherd plants forest
The Maniac,Benjamín Labatut,2023,-2,2,Von Neumann and AI history; male
The Monk,Matthew Gregory Lewis,1796,-1.5,-2,Gothic male monk's downfall
The Moor's Account,Laila Lalami,2014,-1.5,2,Moorish slave in conquistador expedition
The Moviegoer,Walker Percy,1961,-1.5,-1,New Orleans male malaise
The Murder of Roger Ackroyd,Agatha Christie,1926,-0.5,-1,Classic Poirot mystery
The Names,Don DeLillo,1982,-1.5,0,American male in Athens
The Noise of Time,Julian Barnes,2016,-2,1,Shostakovich and Stalin
The Outsiders,S. E. Hinton,1967,-2.5,-1,Greasers vs Socs male gang
The Palliser Novels,Anthony Trollope,1864,-0.5,-3,Victorian political series
The Passion According to G.h.,Clarice Lispector,1964,2.5,-1,Brazilian woman confronts cockroach
The Patrick Melrose Novels,Edward St Aubyn,1992,-1.5,0,Male upper-class trauma series
The Phantom Tollbooth,Norton Juster,1961,-1,-1,Boy through magic tollbooth
The Plains,Gerald Murnane,1982,-1.5,0,Australian filmmaker in mythic plains
The Poisonwood Bible,Barbara Kingsolver,1998,3,1,Missionary daughters in the Congo
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824,-2,-2,Scottish male antinomian doppelgänger
The Pursuit of Love,Nancy Mitford,1945,3,-1,Mitford-esque aristocratic sisters
The Razor's Edge,William Somerset Maugham,1944,-1,-1,WWI male spiritual seeker
The Real Life of Sebastian Knight,Vladimir Nabokov,1941,-1.5,-1,Male half-brother investigates writer
The Recognitions,William Gaddis,1955,-2,-1,Forger novel; male protagonist
The Red and the Black,Stendhal,1830,-1.5,-3,Provincial male social climber
The Road to the City,Natalia Ginzburg,1942,2,-1,Italian young woman seeks escape
The Satanic Verses,Salman Rushdie,1988,-1.5,0,Two Indian men fall from sky
"The Sea, the Sea",Iris Murdoch,1978,-1.5,-1,Retired male director by sea
The Secret Agent,Joseph Conrad,1907,-2,-2,London anarchist plot; male
The Shipping News,Annie Proulx,1993,-1,0,Widower in Newfoundland
The Siege of Krishnapur,J. G. Farrell,1973,-2.5,0,1857 mutiny siege; male British
The Slap,Christos Tsiolkas,2008,0,1,Australian barbecue incident ensemble
The Slaves of Solitude,Patrick Hamilton,1947,1.5,-1,Wartime English boarding house
The Song of Achilles,Madeline Miller,2011,-1,1,Achilles/Patroclus retelling
The Spider's House,Paul Bowles,1955,-1.5,-1,Fez under French rule
The Spiral Ascent,Edward Upward,1977,-1.5,0,Male communist intellectual trilogy
The Sportswriter,Richard Ford,1986,-2,0,New Jersey male sportswriter
The Spy Who Came in From the Cold,John le Carré,1963,-2.5,-1,Cold War male spy
The Stand,Stephen King,1978,-0.5,0,Post-plague ensemble; male protagonist
The Story of Lucy Gault,William Trevor,2002,2,0,Anglo-Irish girl believed drowned
"The Story of the Stone, or the Dream of the Red Chamber",Cao Xueqin,1791,2,-2,Qing-era family of women
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,-2,-2,Duplicate
The Street,Ann Petry,1946,2.5,0,Black single mother in Harlem
The Swimming-Pool Library,Alan Hollinghurst,1988,-2.5,0,Gay male London 1980s
The Tale of the 1002nd Night,Joseph Roth,1939,-1,-1,Habsburg male officer and a Persian shah
The Tenant of Wildfell Hall,Anne Brontë,1848,2.5,-3,Woman flees abusive husband
The Thing About December,Donal Ryan,2013,-1.5,1,Irish young man's lonely year
The Third Lie,Ágota Kristóf,1991,-1,0,Hungarian male twin trilogy finale
The Time of the Doves,Mercè Rodoreda,1962,2.5,0,Same as In Diamond Square (alt title)
The Translator,Leila Aboulela,1999,2,1,Sudanese widow translator in Scotland
The Trees,Percival L. Everett,2021,-1.5,1,Mississippi lynching revenge satire
The Trick Is to Keep Breathing,Janice Galloway,1989,2.5,1,Scottish woman's breakdown
The Tunnel,William H. Gass,1995,-2,0,Male historian's claustrophobic monologue
The Unbearable Lightness of Being,Milan Kundera,1984,-1,-1,Czech male doctor and women
The Unicorn,Iris Murdoch,1963,1,-1,Female-centered gothic
The Vagabond,Colette,1910,2.5,-1,Music-hall woman's independence
The Valley of Fear,Arthur Conan Doyle,1915,-2.5,-1,Sherlock Holmes mystery
The Vanishing Half,Brit Bennett,2020,2.5,2,Black twin sisters; one passing
The Vicar of Wakefield,Oliver Goldsmith,1766,-1,-3,18th-c. clergyman's family
The Waiting Years,Fumiko Enchi,1957,2.5,0,Japanese wife procures concubines
The War of the Worlds,H. G. Wells,1898,-2.5,-1.5,Victorian male and Martians
The Way We Live Now,Anthony Trollope,1875,-1,-3,Victorian financial swindler ensemble
The Wings of a Dove,Henry James,1902,1.5,-2,Dying American heiress
The Yellow Wallpaper,Charlotte Perkins Gilman,1892,3,-2,Woman's domestic descent into madness
Things We Lost in the Fire,Mariana Enriquez,2016,2,2,Argentine female horror stories
Thirst for Love,Yukio Mishima,1950,2,-1,Widow in obsessive love
Those Who Leave and Those Who Stay,Elena Ferrante,2013,3,1,Neapolitan novels volume 3
Three Men in a Boat,Jerome K. Jerome,1889,-2,-1.5,Comic male Thames boating
Titus Groan,Mervyn Peake,1946,-1.5,-1,First Gormenghast novel
"To Be Taught, If Fortunate",Becky Chambers,2019,1,1,Female-led SF exploration
Tom Lake,Ann Patchett,2023,2.5,1,Mother tells daughters of past love
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,2022,0.5,1,Two video-game makers friendship
Tongues I,Anders Nilsen,2024,-1,2,Graphic mythological journey
Too Loud a Solitude,Bohumil Hrabal,1976,-1.5,0,Czech male book-pulper
Too Loud a Solitude,Bohumil Hrabal,1976,-1.5,0,Duplicate
Towards the End of the Morning,Michael Frayn,1967,-1.5,-1,Fleet Street male journalists
Trainspotting,Irvine Welsh,1993,-2.5,0,Edinburgh male heroin addicts
Transit,Rachel Cusk,2016,2,1,Female narrator post-divorce
Tree of Smoke,Denis Johnson,2007,-2.5,0,Vietnam War male CIA novel
Trilby,George du Maurier,1894,2,-2,Bohemian Paris and Svengali
Trout Fishing in America,Richard Brautigan,1967,-1.5,-1,Whimsical male Beat-era prose
True History of the Kelly Gang,Peter Carey,2000,-2.5,0,Ned Kelly's voice
Two Serious Ladies,Jane Bowles,1943,3,0,Two unconventional female travelers
U.s.a.,John Dos Passos,1930,-1.5,-1.5,Modernist American trilogy
Under Milk Wood,Dylan Thomas,1954,0,-1,Welsh village radio-play; ensemble
Under the Volcano,Malcolm Lowry,1947,-2.5,-1.5,Drunken male consul in Mexico
Union Street,Pat Barker,1982,3,0,Northern English working-class women
Vernon Subutex 1,Virginie Despentes,2015,-1,1,Paris male ex-record-store owner
Vile Bodies,Evelyn Waugh,1930,-0.5,-1,Bright Young Things satire
Visitation,Jenny Erpenbeck,2008,0.5,1,German lake house through 20th c.
Voyage in the Dark,Jean Rhys,1934,2.5,-1,Young Caribbean woman in London
Washington Square,Henry James,1880,2,-2.5,Plain heiress and fortune hunter
Watchmen,Alan Moore,1987,-2,0,Graphic novel ensemble; male-led
Waterland,Graham Swift,1983,-1,0,Fens history teacher male
Watership Down,Richard Adams,1972,-2,-1,All-male rabbit migration
We All Want Impossible Things,Catherine Newman,2022,2.5,1,Two women; one dying friend
Where We Come From,Oscar Casares,2019,-0.5,1,Texas border migrant story
White Noise,Don DeLillo,1985,-1,-1,Suburban male professor of Hitler Studies
Who Was Changed and Who Was Dead,Barbara Comyns,1954,1.5,0,English village deaths; female-led
Wise Blood,Flannery O'Connor,1952,-1,-1,Southern male anti-prophet
Wittgenstein's Mistress,David Markson,1988,2,0,Last woman on earth's monologue
Women Talking,Miriam Toews,2018,3,2,Mennonite women debate after assaults
Women in Love,D. H. Lawrence,1920,1,-2,Two couples; sisters central
Wonder,R. J. Palacio,2012,-0.5,1,Boy with facial difference at school
Woodcutters,Thomas Bernhard,1984,-1.5,0,Misanthropic male monologue at dinner
Zone,Mathias Enard,2008,-2.5,1,Male intelligence agent's train ride
