rank,title,author,open_library_id,vote_count,blurb
77,The Rainbow,DH Lawrence,OL81293W,4,"For Lawrence’s characters, yearning has a transcendental quality and falling in love is a religious experience. This novel, set in rural Nottinghamshire and focused on three generations of a family amid the industrial change of the 19th century, was ruled obscene over a plotline concerning the lesbian relationship between the young Ursula Brangwen and her schoolteacher. Its sequel, Women in Love, was published in 1920."
78,A House for Mr Biswas,VS Naipaul,OL103113W,4,"Naipaul’s international breakthrough came with his fourth novel, a comic epic set in postcolonial Trinidad following the doomed life of Mr Biswas, a character inspired by Naipaul’s father (the son in the novel, Anand, is based on the writer himself). Mr Biswas spends the novel living in a series of unsuitable homes – most of which are owned by his in-laws, with whom he’s constantly at war – until he finds the house of the title. Naipaul would go on to win the Nobel prize in literature in 2001."
79,Go Tell It on the Mountain,James Baldwin,OL228705W,4,"Baldwin’s first novel drew on his relationship with his cruel and controlling stepfather, an evangelical preacher from New Orleans. The story, set over a 24-hour period, centres on John Grimes, who is expected to follow the path of his abusive preacher father Gabriel. The novel, which connects sexuality with spirituality, has often been a target of book banning in the US."
80,Rebecca,Daphne du Maurier,OL36633W,4,"It has one of the most famous opening lines in literature and, in housekeeper Mrs Danvers, one of the most sinister female villains – plus an eponymous heroine who is dead from the off. The country estate in the novel was inspired by Du Maurier’s house in Cornwall. Critical opinion has always been a little snooty about this gothic triumph, but, like the glamorous Rebecca, its spell is impossible to shake off."
81,Buddenbrooks,Thomas Mann,OL14867081W,4,"Mann published this chronicle of the financial and spiritual decay of a wealthy 19th-century German family when he was in his mid-twenties, and caused a scandal for drawing on the society around him. William Faulkner saw it as the greatest novel of the 20th century, while “the Buddenbrooks effect” has come to refer to the tendency of family businesses to decline over the generations."
82,The End of the Affair,Graham Greene,OL106073W,4,"The affair between novelist Maurice Bendrix and Sarah Miles (clearly based on the author’s long affair with his goddaughter) ends when Sarah makes a deal with God during the blitz. Betrayal, morality, faith – all Greene’s big themes are contained in this slim, intimate novel set around a rainy Clapham Common. Greene’s friend and fellow Catholic convert Evelyn Waugh said the story was “a singularly beautiful and moving one”."
83,A Farewell to Arms,Ernest Hemingway,OL63072W,4,"Partly based on Hemingway’s own experiences during the first world war, this is an American soldier’s memoir of his time serving as a medic with the Italian army, and a love affair with an English nurse that ends in tragedy. Hemingway wrote nearly 50 possible versions of the ending, and made a list of more than 30 possible titles; but after he sent a draft to F Scott Fitzgerald who returned it with pages of edits, he famously wrote back with the words “Kiss my ass”."
84,The Talented Mr Ripley,Patricia Highsmith,OL59434W,4,"In her five novels about conman Tom Ripley, Highsmith created a character both morally repugnant and undeniably sympathetic. Ripley is a ruthless, sinister social climber, and yet it is impossible not to root for him in this tale of glamour and greed set on Italy’s Amalfi coast. A film-maker’s favourite, Ripley has been played by Matt Damon, John Malkovich and most recently by Andrew Scott."
85,The Vegetarian,Han Kang,OL17334243W,4,"Deborah Smith’s translation introduced the Korean author to western audiences, winning the International Booker prize in 2016. The tripartite story centres on a woman who refuses to eat meat after a series of violent dreams, and is ultimately admitted to an asylum. Han would go on to win the Nobel prize in literature in 2024."
86,The Turn of the Screw,Henry James,OL276386W,4,"When a governess is sent to an isolated country house to look after two orphans, she becomes convinced that evil spirits are haunting her charges. A classic ghost story, James’s claustrophobic tale was inspired by a story told to him by the Archbishop of Canterbury. James described it as a “shameless potboiler”, but his eerie and ambiguous novella has inspired many spin-offs, from Benjamin Britten’s 1954 opera to 1961 film The Innocents, on which Truman Capote worked as a screenwriter."
87,The Line of Beauty,Alan Hollinghurst,OL1993508W,4,"After moving to London to do a PhD on Henry James, small-town boy Nick Guest is embraced – up to a point – by the glamorous Fedden family, and thrust into a world of fine art, cocaine and Tory politics. Hollinghurst paints a discomfiting portrait of an outsider in a world of privilege, and brilliantly conjures the excess and hypocrisy of England in the 80s – complete with a surprising cameo from Margaret Thatcher."
88,Ragtime,EL Doctorow,OL55239W,4,"Set in the melting pot of jazz-era New York, with real figures – Henry Ford, JP Morgan, Harry Houdini – mingling with three fictional families, one Black, one Jewish, one white. This is a historical novel that brings the past roaring back to life; Barack Obama once called Doctorow his favourite author after Shakespeare."
89,The Left Hand of Darkness,Ursula K Le Guin,OL59800W,4,"A traveller to an icebound planet finds a society without gender: the inhabitants of Gethen are androgynous, only taking on either male or female sexual attributes when they enter a window of fertility. A groundbreaking feminist thought experiment from one of fantasy’s most interesting and humane voices."
90,Jacob's Room,Virginia Woolf,OL39329W,3,"Impressionistic and fragmentary, Jacob’s Room was the first of Woolf’s experimental novels. Piecing together the life of Jacob Flanders through conversations, memories and the perceptions of others, the novel traces his young life from childhood to Cambridge and on to London. Seen as an elegy for her brother Thoby, who died of typhoid aged 26, it raises questions about the futility of war and the impossibility of knowing another person. In her diaries, Woolf noted, “I think Jacob was a necessary step for me, in working free.”"
91,Life and Fate,Vasily Grossman,OL157104W,3,"Ukrainian Jewish journalist Grossman was a witness to the battle of Stalingrad and the Nazi extermination camps; written in 1959, his epic of life on the eastern front during the second world war, suppressed by the regime and smuggled to the west after his death, is widely seen as the Soviet War and Peace."
92,Sentimental Education,Gustave Flaubert,OL893802W,3,"The initial reception for Sentimental Education was damning: critics attacked its loose structure and perceived lack of plot; Henry James dismissed it as “elaborately and massively dreary”. It has since been recognised as one of Flaubert’s most innovative works, tracing a young man’s unfulfilled love and drifting ambitions in mid-19th century France, in a portrait of disillusionment and emotional inertia."
93,Invisible Cities,Italo Calvino,OL15297W,3,"The 13th-century Venetian explorer Marco Polo spins gorgeous prose poems about 55 fictional cities for Chinese emperor Kublai Khan – but why does he never mention his home town? “Every time I describe a city I am saying something about Venice.” There’s a rigorous mathematical pattern behind these playful meditations on art, belonging, culture and imagination: Calvino described the novel as a polyhedron."
94,The Known World,Edward P Jones,OL4112928W,3,"Written by a debut American novelist who had struggled with poverty and homelessness, this historical epic set in the antebellum south, about a freed Black man who becomes an enslaver himself, won a Pulitzer for its powerful storytelling and complex moral vision."
95,The Return of the Native,Thomas Hardy,OL44994W,3,Missed encounters and misunderstandings plague the young couples in this lyrical tragedy set in a wild area of Hardy’s fictional Wessex where locals make their living from harvesting the spiny gorse. An adder plays an especially fateful role.
96,Pedro Páramo,Juan Rulfo,OL1731119W,3,"Spoiler alert: without this short book from the Mexican author, we might not have had one of the more famous works on this list. Gabriel García Márquez read it in one sitting when it was published; the next day, he began One Hundred Years of Solitude. In this surreal, time-shifting story, a son goes in search of his father, the tyrant Pedro Páramo, in the rural town of Comala, which is now inhabited by ghosts. It was the only novel the enigmatic Rulfo published in his lifetime."
97,Catch-22,Joseph Heller,OL276798W,3,"Heller set his blackly comic satire on the absurdity and futility of war among US bomber crews stationed on an Italian island in the early 1940s. In asking how a sane person can survive insanity, it gave the world a new name for impossible situations – though the original title, Catch-18, was changed to avoid confusion with a now-forgotten novel called Mila 18."
98,The Road,Cormac McCarthy,OL40873W,3,"Unspecified global disaster triggers the end of civilisation; a decade on, the dregs of humanity have descended into cannibalism. A man and his young son make for the coast across a dead America, knowing every moment might be their last. This tale of paternal love and endurance in a terrifyingly bleak post-apocalyptic world powerfully brought home our fragility in the face of climate breakdown."
99,The Go-Between,LP Hartley,OL2047674W,3,"When a repressed middle-aged man discovers a journal from his childhood, he has little idea that within those pages lies a heart-wrenching story of love and its destruction – as well as the key to his arrested development. In his most famous work, author and critic Hartley brilliantly renders a child’s-eye view of adult affairs. The novel inspired a 1971 film version starring Julie Christie and Alan Bates, scripted by Harold Pinter."
100,My Ántonia,Willa Cather,OL12791W,4,"Cather’s best known book is the story of immigrants to Nebraska and an indelible portrait of the midwest in the late 19th century. HL Mencken called the novel “one of the best that any American has done”. The hardships of life on the frontier, the resourcefulness of the people and the central place of migration in the American story are evoked in luminous prose."
